"Site Name","Event Name","Lat","Long","Date","State","County","Category","Protocol","Protocol Url","Study Plan","Study Plan Url","Program","Program Url","Organization","Organization Url","URL","Data Provider"
"CBW05583-254415","hitch 7","44.71931","-113.46958","2014-09-18T09:03:00","Idaho","Lemhi County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Lemhi Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-079506","Secesh","45.20909","-115.94357","2014-08-22T12:07:00","Idaho","Idaho County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - South Fork Salmon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-503467","hitch_all_Aug6toend_Entiat","47.73892","-120.40842","2014-09-28T09:07:00","Washington","Chelan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Entiat Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-361417","hitch_all_Aug6toend_Methow","48.27539","-120.08811","2014-09-20T08:04:00","Washington","Okanogan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Methow Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-021449","Hitch1_KC_July9toJuly16_Methow","48.33676","-120.0532","2014-07-11T20:19:00","Washington","Okanogan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Methow Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-009753","Hitch3_SD_Aug6toAug13_Methow","48.64827","-120.51183","2014-08-10T08:42:00","Washington","Okanogan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Methow Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-007039","Hitch 3","46.22781","-117.72258","2014-07-31T15:31:00","Washington","Columbia County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Tucannon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"CBW05583-057139","Hitch 7","46.49446","-117.97519","2014-09-29T10:40:00","Washington","Columbia County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Tucannon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"dsgn4-000009","CRITFC Grande Ronde","45.05513","-118.29779","2016-06-24T09:01:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","CRITFC","https://www.monitoringresources.org/Resources/Organization/Detail/6","","ChampMonitoring.org"
"CBW05583-360346","CTUIR_GrandeRondeBasin_Fish","45.33125","-118.21793","2014-06-23T10:10:00","Oregon","Union County","Fish, Landscape Form and Geomorphology, Other","Coordinated MBACI Protocol for Estimating Instream Juvenile Salmonid Abundance_AEM","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","CTUIR","https://www.monitoringresources.org/Resources/Organization/Detail/33","","ChampMonitoring.org"
"CBW05583-020943","hitch 7","44.73342","-113.44453","2014-09-21T10:11:00","Idaho","Lemhi County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Lemhi Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-026031","Hitch 4","44.86596","-113.62467","2014-08-11T09:01:00","Idaho","Lemhi County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Lemhi Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-456106","Catherine AEM Fish Data","45.12323","-117.69815","2014-08-08T13:58:00","Oregon","Union County","Fish, Landscape Form and Geomorphology, Other","Coordinated MBACI Protocol for Estimating Instream Juvenile Salmonid Abundance_AEM","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"CBW05583-288410","ODFW Small Sites","45.40888","-117.81187","2014-07-01T08:45:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"CBW05583-531546","ODFW Small Sites","45.38013","-118.29909","2014-06-25T08:22:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"dsgn4-000092","ODFW Small Sites","45.32885","-118.27239","2014-06-24T09:04:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"WENMASTER-000119","hitch_all_Aug6toend_Wenatchee","48.02099","-120.82968","2014-08-07T11:10:00","Washington","Chelan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Wenatchee Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-121695","Hitch 4","45.04066","-113.62182","2014-08-08T09:01:00","Idaho","Lemhi County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Lemhi Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-440159","hitch 7","45.10109","-113.71306","2014-09-22T10:41:00","Idaho","Lemhi County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Lemhi Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-382610","Secesh","45.22331","-115.92991","2014-07-24T09:03:00","Idaho","Idaho County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - South Fork Salmon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"dsgn4-000245","CRITFC Grande Ronde","45.26978","-118.36503","2015-08-28T08:30:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","CRITFC","https://www.monitoringresources.org/Resources/Organization/Detail/6","","ChampMonitoring.org"
"dsgn4-000202","CRITFC Grande Ronde","45.24225","-118.39174","2016-07-20T08:32:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","CRITFC","https://www.monitoringresources.org/Resources/Organization/Detail/6","","ChampMonitoring.org"
"dsgn4-000277","CRITFC Grande Ronde","45.13325","-118.36615","2016-07-11T15:40:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","CRITFC","https://www.monitoringresources.org/Resources/Organization/Detail/6","","ChampMonitoring.org"
"WC503432-000032","hitch_all_Aug6toend_Wenatchee","47.76753","-120.77792","2014-08-23T07:38:00","Washington","Chelan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Wenatchee Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-314738","July","44.27706","-119.30682","2014-07-09T09:46:00","Oregon","Grant County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - John Day Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"CBW05583-512938","CRITFC Catherine Creek 2014","45.10466","-117.58188","2014-09-21T08:32:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","CRITFC","https://www.monitoringresources.org/Resources/Organization/Detail/6","","ChampMonitoring.org"
"CBW05583-405674","Catherine AEM Fish Data","45.19654","-117.83898","2014-08-08T20:01:00","Oregon","Union County","Fish, Landscape Form and Geomorphology, Other","Coordinated MBACI Protocol for Estimating Instream Juvenile Salmonid Abundance_AEM","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"CBW05583-252730","ODFW Medium Streams","45.25661","-118.40611","2014-07-07T12:04:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"LEM00001-Big0Springs-4","hitch 7","44.71123","-113.40986","2014-09-17T09:09:00","Idaho","Lemhi County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Lemhi Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-086815","Secesh","45.10731","-115.75625","2014-09-08T10:08:00","Idaho","Valley County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - South Fork Salmon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Quantitative Consultants Inc","https://www.monitoringresources.org/Resources/Organization/Detail/28","","ChampMonitoring.org"
"CBW05583-331435","hitch_all_Aug6toend_Entiat","47.78582","-120.44398","2014-10-01T12:06:00","Washington","Chelan County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Entiat Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"CBW05583-007039","Tt Snorkel New Channel Units","46.22781","-117.72258","2014-08-19T08:37:00","Washington","Columbia County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Tucannon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"CBW05583-310143","Hitch 5","46.1963","-117.71311","2014-09-02T09:57:00","Washington","Columbia County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Tucannon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"CBW05583-327859","Hitch 6","46.46169","-117.87708","2014-09-15T09:46:00","Washington","Columbia County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Tucannon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"CBW05583-339839","Hitch 5","46.41161","-117.73945","2014-08-31T13:31:00","Washington","Columbia County","Classification of Ecological or Geological Attribute, Climate/Weather, Disturbance/Restoration, Fish, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects Plus CHaMP 2014 Methods","","CHaMP - Tucannon Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"WEN00001-Pioneer_Control","Colin UCSRB sites","47.52419","-120.47497","2014-09-16T08:20:00","Washington","Chelan County","Classification of Ecological or Geological Attribute, Disturbance/Restoration, Fish, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils","BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"GCT00001-GraniteControl","CTUIR Granite Creek","44.81282","-118.45666","2013-08-30T17:14:00","Oregon","Grant County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","CTUIR","https://www.monitoringresources.org/Resources/Organization/Detail/33","","ChampMonitoring.org"
"TET00001-YakimaBillys_Impact","Yakima Hitch 2014","46.57128","-120.46918","2014-07-16T09:31:00","Washington","Yakima County","Classification of Ecological or Geological Attribute, Disturbance/Restoration, Fish, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils","BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"AEM001-LostineSheepRidge_Control","Clint Chandler August Hitch","45.45286","-117.42558","2014-09-02T13:01:00","Oregon","Wallowa County","Disturbance/Restoration, Fish, Landscape Form and Geomorphology, Other","BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Nez Perce Tribe","https://www.monitoringresources.org/Resources/Organization/Detail/20","","ChampMonitoring.org"
"AEM001-LostineSheepRidge_Treatment","Clint Chandler August Hitch","45.45261","-117.42553","2014-09-02T11:00:00","Oregon","Wallowa County","Disturbance/Restoration, Fish, Landscape Form and Geomorphology, Other","BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Nez Perce Tribe","https://www.monitoringresources.org/Resources/Organization/Detail/20","","ChampMonitoring.org"
"AEM001-RedRiverMeanders_Control","Clint Chandler Red River","45.7673","-115.3924","2014-07-08T10:00:00","Idaho","Idaho County","Classification of Ecological or Geological Attribute, Disturbance/Restoration, Fish, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils","BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Nez Perce Tribe","https://www.monitoringresources.org/Resources/Organization/Detail/20","","ChampMonitoring.org"
"CAL00001-070161","Summer 2016 BACI Hitch 2","39.47544","-123.69993","2016-09-12T12:12:00","California","Mendocino County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - California Department of Fish and Game Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","CDFW","https://www.monitoringresources.org/Resources/Organization/Detail/128","","ChampMonitoring.org"
