metric_title,protocol_title,method_title_list
"""Density of Instream Wood""","""BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects (Mill Creek)""","[""Benthic Macroinvertebrates v1.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Site Discharge Calculation v1.0"", ""Log10 Volume of LWD v1.0"", ""Benthic Macroinvertebrates - Hilsenhoff Biotic Index v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0"", ""Valley Width v1.0"", ""Measuring channel constraints v1.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Taxa richness metrics v1.0"", ""Constraining Feature Type v1.0"", ""Site Layout v2.0"", ""Benthic Macroinvertebrate Production by Habitat Type v1.0"", ""Channel Segment Number v2.0"", ""Stream Discharge v1.0"", ""Channel Migration Rate v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Multimetric Index or Index of Biological Integrity (IBI) v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data v1.0"", ""Site Photos v2.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""Tally Large Woody Debris v3.0"", ""Bankfull Width Calculation v1.0"", ""Channel Unit Classification v2.0"", ""Estimating Benthic Macroinvertebrate Biomass using Length-Mass Relationships v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Ratio Inundated Floodplain Area to Channel Length v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""RBT - Channel Unit Calculation v1.0"", ""Large Woody Debris Counts v1.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""Large Wood Frequency v1.0"", ""Benthic Macroinvertebrate PREDictive Assessment Tool For Oregon v1.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""Pool/Riffle Ratio v1.0"", ""Percent Constrained v1.0"", ""Area of Inundation of Off-Channel Habitat Predicted at Various Flows v1.0"", ""Topographic Point Collection v2.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Large Wood Volume Calculation v1.0"", ""Proportion of Edge Water Habitat at Various Flows v1.0"", ""Benthic Macroinvertebrates – Multi-habitat Method v1.0""]"
"""Density of Instream Wood""","""BPA MBACI Protocol for Monitoring the Combined Effectiveness of Off-Channel Habitat, Floodplain Enhancement, Bank Stablization, and Livestock Exclusion Projects""","[""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Taxa richness metrics v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data v1.0"", ""Tally Large Woody Debris v3.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""Topographic Point Collection v2.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Benthic Macroinvertebrates v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Electrofishing v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Benthic Macroinvertebrates – Multi-habitat Method v1.0"", ""Fish Cover Elements v2.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Site Photos v2.0"", ""Measuring Active Streambank Erosion v1.0"", ""Measuring channel constraints v1.0"", ""Calculating Macroinvertebrate Index of Biological Integrity (IBI) v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""Solar Input v2.0"", ""Benthic Macroinvertebrate PREDictive Assessment Tool For Oregon v1.0"", ""Channel Unit Classification v2.0"", ""RBT - Channel Unit Calculation v1.0"", ""Pool/Riffle Ratio v1.0"", ""Calculating Juvenile Salmonid Density from Electrofishing v1.0"", ""Detecting Presence/Absence Of Livestock v1.0"", ""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Benthic Macroinvertebrates - Hilsenhoff Biotic Index v1.0"", ""Channel Segment Number v2.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""Bankfull Width Calculation v1.0"", ""Characterizing Riparian Vegetation Structure v1.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Channel Migration Rate v1.0"", ""Stream Discharge v1.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""Bank Erosion v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""Site Layout v2.0""]"
"""Density of Instream Wood""","""Stream reach surveys to describe habitat attributes that have been linked to the quality of salmonid rearing habitat""","[""Physical Habitat: Substrate - Pebble Counts v1.0"", ""Large Wood v1.0"", ""Habitat-Riparian Assessment-Densiometer Readings v1.0"", ""Channel Metrics: Wetted Width (WW) v1.0"", ""Channel Unit Large Wood Volume Calculation v1.0"", ""Channel Morphology: Pools v1.0"", ""Bankfull Width v1.0"", ""Residual pool depth & maximum v1.0"", ""Total number of pools v1.0"", ""Channel Unit Large Wood Volume/Count In Log Jams Calculation v1.0""]"
"""Density of Instream Wood""","""AREMP 2019 Field Manual -  Regional Interagency Monitoring for the Northwest Forest Plan""","[""Measuring Bankfull Width and Height using a Laser Rangefinder v1.0"", ""Invasive Species Disinfection Protocol v1.0"", ""Channel Morphology: Pools v2.0"", ""Calculate Percent of Station (Reach) by Bed Feature (Pool, riffle, run, glide) v1.0"", ""Water Quality - pH, Specific Conductance, Temperature, Total Nitrogen and Total Phosphorus v1.0"", ""Biological Sampling- Invasive Species - Aquatic Animals v1.0"", ""Site & transect layout v1.0"", ""Total Nitrogen and Total Phosphorous using grab samples v1.0"", ""Physical Habitat: Substrate - Pebble Counts v2.0"", ""Biological Sampling- Benthic Macroinverbrates v2.0"", ""Physical Habitat: Large Wood (LW) v2.0"", ""Channel Morphology: Bankfull Width v2.0"", ""Channel Morphology: Stream Gradient v2.0"", ""Calculating Site-level Average Bankfull Width to Depth Ratio v1.0"", ""Procedure for Pressing Plants v1.0"", ""Biological Sampling- Invasive Species - Terrestrial Animals v1.0"", ""Calculating a Mean, Variance and Standard Deviation v1.0"", ""Channel Morphology: Entrenchment v1.0"", ""Water Quality Measurements Using a Conductivity/DO/Temperature Meter v1.0"", ""Biological Sampling- Invasive Species - Terrestrial Plants v1.0"", ""Locating and establishing the start of the survey v1.0"", ""Sampling Stream Sites with Beaver Activity v1.0"", ""Calculating D50 and Percent Fines (<2mm and <6mm) from Stream Pebble Counts v1.0"", ""Pool Tail Fines: Particles <2mm and <6mm v1.0"", ""Physical Habitat: Percent Surface Fines on Pool Tails v2.0"", ""Biological Sampling- Invasive Species - Aquatic Plants v1.0""]"
"""Density of Instream Wood""","""BPA MBACI Monitoring Effectiveness of Habitat Protection Projects""","[""Benthic Macroinvertebrates v1.0"", ""Laying Out Control and Impact Stream Reaches for Wadeable Streams (For Fish Passage Projects) v1.0"", ""Measuring Slope And Bearing v1.0"", ""Determining Upland Vegetation Species Diversity and Densities v1.0"", ""Particle Size Distribution and Particle Embeddedness v2.0"", ""Measuring Pool Tail Fines v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Channel Unit Classification v1.0"", ""Detecting Fish Species Assemblages Using Backpack Electrofishing or Snorkeling v1.0"", ""Tally Large Woody Debris v2.0"", ""Bankfull Width Calculation v1.0"", ""Characterizing Stream Morphology, Thalweg Profile v1.0"", ""Measuring Pool Attributes v1.0"", ""Measuring Actively Eroding Streambanks v1.0"", ""Summary Statistics for Habitat Protection Projects v1.0"", ""Characterizing Riparian Vegetation Structure v1.0""]"
"""Density of Instream Wood""","""BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects""","[""Hydraulic modeling for analysis of floodplain habitat v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data v1.0"", ""Ratio Inundated Floodplain Area to Channel Length v1.0"", ""Channel Segment Number v3.0"", ""Large Woody Debris Counts v1.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""Pool/Riffle Ratio v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Summary statistics for Floodplain Enhancement Projects v1.0"", ""Fish Cover Elements v2.0"", ""Calculating Juvenile Salmonid Density from Electrofishing v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling v1.0"", ""Site Photos v2.0"", ""Calculation of River Complexity Index (Brown 2002) v1.0"", ""Channel Migration Rate v1.0"", ""Fish Density by Channel Unit and Species v1.0"", ""Calculating Macroinvertebrate Index of Biological Integrity (IBI) v1.0"", ""Measuring Individual Large Woody Pieces v1.0"", ""Large Wood Frequency v1.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""Bankfull Width Calculation v1.0"", ""Site Layout v2.0"", ""Percent Constrained v1.0"", ""Estimating Benthic Macroinvertebrate Biomass using Length-Mass Relationships v1.0"", ""Benthic Macroinvertebrates – Multi-habitat Method v1.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""Analysis Methods for Benthic Macroinvertebrate Data- Taxa richness metrics v1.0"", ""Log10 Volume of LWD v1.0"", ""Ratio of Floodplain Area to Channel Area v1.0"", ""Valley Width v1.0"", ""Area of Inundation of Off-Channel Habitat Predicted at Various Flows v1.0"", ""Proportion of Edge Water Habitat at Various Flows v1.0"", ""Benthic Macroinvertebrates - Hilsenhoff Biotic Index v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Electrofishing v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""Benthic Macroinvertebrate Production by Habitat Type v1.0"", ""Benthic Macroinvertebrates v1.0"", ""Calculating Juvenile Salmonid Density from Snorkeling v1.0"", ""Measuring channel constraints v1.0"", ""Large Wood Volume Calculation v1.0"", ""Stream Discharge v1.0"", ""RBT - Channel Unit Calculation v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Channel Unit Classification v3.0"", ""Benthic Macroinvertebrate PREDictive Assessment Tool For Oregon v1.0"", ""Topographic Point Collection v3.0"", ""Riparian Structure v2.0"", ""Constraining Feature Type v1.0"", ""Calculation of Braid/Channel Ratio v1.0"", ""Site Discharge Calculation v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Fish Counts by Channel Unit Type and by Life Stage, By Species v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0""]"
"""Density of Instream Wood""","""Okanogan Basin Monitoring & Evaluation Program -  Habitat Monitoring""","[""Laying Out Control and Impact Stream Reaches for Wadeable Streams v1.0"", ""Measuring Transect Data v1.0"", ""Measuring Large Woody Debris (LWD) v1.0"", ""Transect Layout in Reach with Braided Channel/Measuring Side Channels & Mid Channel Bars v1.0"", ""Characterizing Stream Morphology and In-Stream Habitat - Thalweg Profile v1.0"", ""Characterizing Riparian Vegetation Structure v1.0"", ""Download of surface water data collected at streamgaging stations from NWIS v1.0"", ""Method for Photo Documentation v1.0"", ""Physical Habitat: Human Influence v1.0"", ""Standard Operating Procedures for Continuous Temperature Monitoring of Fresh Water Rivers and Streams. v1.0"", ""Benthic Macroinvertebrates v1.0"", ""Measuring Gradient v1.0"", ""Measuring Substrate v1.0"", ""Ecosystem Diagnosis and Treatment (EDT) v1.0""]"
"""Density of Macroinvertebrate Species""","""Redband Trout Tributary Habitat Assessment""","[""Benthic Macroinvertebrates v1.0"", ""Physical Habitat: Slope and Bearing v1.0"", ""Determining Effectiveness of Fish Passage Structures- Bridges and other non-culvert road crossings v1.0"", ""Estimating particles Embeddedness - For Wadable Streams v1.0"", ""Bankfull Width v1.0"", ""Determining Effectiveness of Fish Passage Structures- Dams v1.0"", ""Measuring Large Woody Debris (LWD) v1.0"", ""Channel Class v1.0"", ""Characterizing Stream Morphology, Thalweg Profile v1.0"", ""Characterizing Riparian Vegetation Structure v1.0"", ""Channel Morphology: Pools v1.0"", ""Water Chemistry - Nitrate/Nitrite v1.0"", ""Water Temperature Probe Installation v1.0"", ""Water Chemistry - Turbidity v1.0"", ""pH - Data Logger v1.0"", ""Specific Conductivity - Data Logger v1.0"", ""Standard Operating Procedure for Measuring and Calculating Stream Discharge v1.0"", ""Physical Habitat: Substrate - Pebble Counts v1.0"", ""Water Chemistry - Total Phosphorus v1.0"", ""Determining Effectiveness of Fish Passage Structures- Miscellaneous Obstructions v1.0"", ""Bank Measurement - Eroding and Undercut Banks v1.0"", ""Channel Shade Using a Clinometer v1.0"", ""Bankfull Height v1.0"", ""Biological Sampling- Benthic Macroinverbrates v1.0"", ""Physical Habitat: Canopy Cover Measurements v1.0"", ""Determining Effectiveness of Fish Passage Structures- Culverts v1.0"", ""Stream Discharge - Velocity-area method & alternates v1.0"", ""Habitat Units: Pools vs. Riffle/Runs v1.0"", ""Water Quality Grab Samples - Total Phosphorus, Nitrogen, Chloride, Turbidity, and Total Suspended Solids- in Wadeable Streams v1.0""]"
"""Density of Macroinvertebrate Species""","""Mussel Population Status and Distribution Surveys""","[""Visual Survey for Freshwater Mussels v1.0"", ""Quantitative Freshwater Mussel Surveys v1.0""]"
"""Density of Macroinvertebrate Species""","""Apply and Evaluate Freshwater Mussel Best Management Practices (BMPs) in the Columbia River Basin""","[""Quantitative Freshwater Mussel Surveys v1.0"", ""Visual Survey for Freshwater Mussels v1.0"", ""Salvage and Translocation of Freshwater Mussels during Habitat Restoration Actions v1.0""]"
"""Density of Macroinvertebrate Species""","""Snake River reservior invertebrate prey availability for juvenile salmon""","[""Tissue collection for stable isotope analysis v1.0"", ""NWFS_Center_Ocean Salmon Survey Vertical Net Marine Zooplanktkon Sampling v1.0"", ""Macroinvertebrate length frequency v1.0"", ""Macroinvertebrate diet estimated with a Sedgewick-Rafter counting slide v1.0"", ""Macroinvertebrate identification v1.0"", ""Macroinvertebrate densities estimated from beam trawls v1.0"", ""Macroinvertebrate length measurement v1.0"", ""NWFS_Center_Ocean Salmon Survey Bongo Net Zooplankton Analysis v1.0"", ""Stable isotope sample processing v1.0"", ""Beam trawl benthic invertebrates v1.0""]"
"""Density of Macroinvertebrate Species""","""Upper Columbia Nutrient Supplementation Project, BPA Project 2008-471-00""","[""Water Chemistry - Total Phosphorus v1.0"", ""Stable isotope sample processing v1.0"", ""Fish wet weight v1.0"", ""Count of Aquatic Vertebrate Species (Fish) v1.0"", ""Macroinvertebrate identification v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Anesthetizing fish using MS-222 v1.0"", ""Multiple pass removal/depletion backpack electrofishing v1.0"", ""Standard Operating Procedures and Minimum Requirements for the Collection of Freshwater Benthic Macroinvertebrate data in Wadeable Streams and Rivers v1.0"", ""PIT tag marking procedures v1.0"", ""Stomach lavage for small to medium fish v1.0"", ""Tissue collection for stable isotope analysis v1.0"", ""Biofilm Collection, Creating Periphyton Aliquots v1.0"", ""Water Chemistry - Nitrate/Nitrite v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Dissolved Oxygen - Data Logger v1.0"", ""Water Chemistry - Dissolved Phosphorus v1.0"", ""Calculating Juvenile Salmonid Density from Electrofishing v1.0"", ""Standard Operating Procedures for Continuous Temperature Monitoring of Fresh Water Rivers and Streams. v1.0"", ""Terrestrial Macroinvertebrate Collection for Identification, Biomass and Isotope analysis - Pan Traps v1.0"", ""Water Chemistry - Ammonia v1.0"", ""Water Chemistry - Total Persulphate Nitrogen v1.0""]"
"""Density of Macroinvertebrate Species""","""BLM Assessment, Inventory, and Monitoring (AIM) of Wadeable Lotic Systems""","[""Total Nitrogen and Total Phosphorous using grab samples v1.0"", ""Floodplain Connectivity - Bankfull Height v1.0"", ""Streambed Particle Sizes v1.0"", ""Reach Width (Bankfull) v1.0"", ""Biological Sampling- Benthic Macroinverbrates v2.0"", ""Count and Categorize Large Woody Debris (LWD) v1.0"", ""Bank Angle v1.0"", ""Bank Stability Percentage from Field Data v1.0"", ""Calculate Percent of Station (Reach) by Bed Feature (Pool, riffle, run, glide) v1.0"", ""Residual pool depth v1.0"", ""Reach Sinuosity from Reach Length Along Thalweg v1.0"", ""Bank Stability based on Erosional Features v2.0"", ""Sampling Reaches with Beaver Activity v1.0"", ""Benthic Macroinvertebrate Sampling Using a Surber Sampler v1.0"", ""Percent Dry from Thalweg Profile Data v1.0"", ""Calculating Percent Pool and Pool Frequency in a Reach v1.0"", ""Thalweg Depth Profile v2.0"", ""Channel Widths - Wetted Width at All Main and Intermediate Transects v1.0"", ""Water Quality - pH, Specific Conductance, Temperature, Total Nitrogen and Total Phosphorus v1.0"", ""Calculating Large Wood Frequency and Volume v1.0"", ""Channel Widths - Wadeable Lotic System Bankfull Width v2.0"", ""Percent Stream Slope (or Stream Gradient) Calculation v1.0"", ""Transects and Measurements in Side Channels v2.0"", ""Pool Qualifications and Measurements v1.0"", ""Photographing the Reach v1.0"", ""Streambed Particle Size (D16, D50, D84) and Percent Fines v1.0"", ""Water Quality - Turbidity using a LaMotte Turbidimeter v1.0"", ""Organic Phosphorous and Organic Nitrogen Digestion Procedure v1.0"", ""Channel Morphology: Stream Gradient v2.0"", ""Calculating a Mean, Variance and Standard Deviation v1.0"", ""Pool Tail Fines v3.0"", ""Pool Tail Fines: Particles <2mm and <6mm v1.0"", ""Average Bank Angle Across a Reach Calculation v1.0"", ""Setting Up the Reach v1.0""]"
"""Density of Plankton Species""","""Limnological Survey the for Dworshak Reservoir Nutrient Restoration Project""","[""Limnological survey- Collecting Picoplankton (Bacteria) v1.0"", ""Vertical profile measurements of photosynthetically active radiation (PAR) v1.0"", ""Analysis of Water Chemistry Data v1.0"", ""Calculation of compensation depth from PAR profiles v1.0"", ""Collection of samples from lentic waters for chemical analyses v1.0"", ""Determination of turbidity by nephelometry v1.0"", ""Vertical Profile Measurements for Temperature, pH, Dissolved Oxygen, and Conductivity v1.0"", ""Secchi Disk Transparency v1.0"", ""Calculation of Daphnia biomass v1.0"", ""Limnological survey- Collecting Chlorophyll v1.0"", ""Limnological survey- Collecting Zooplankton v1.0"", ""Limnological survey- Collecting Phytoplankton v1.0"", ""Primary Productivity Assessment v1.0""]"
"""Density of Plankton Species""","""Water Quality, Limnology, and Zooplankton Monitoring in Lake Roosevelt (1994-043-00)""","[""Limnological survey- Collecting Zooplankton v1.0"", ""Water Chemistry Sampling in Large Reservoirs v1.0"", ""Zooplankton Identification and Enumeration Method v1.0"", ""Physiochemical Profiling for Lakes v1.0"", ""Surface Hydrology of Reservoirs v1.0"", ""Carlson's Trophic State Index for Lakes v1.0"", ""Estimation of Nonpoint Source Loading of Phosphorus v1.0""]"
"""Density of Vegetation""","""Grassland Restoration Monitoring on the Precious Lands Wildlife Management Area""","[""Site Layout for Grassland Restoration Monitoring Sites v1.0"", ""Calculating a Mean, Variance and Standard Deviation v1.0"", ""Measurements of Herbaceous Species for Grassland Restoration Monitoring v1.0""]"
"""Density of Vegetation""","""Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)""","[""Site Discharge Calculation v1.0"", ""RBT - Wetted Width Profile Calculation v1.0"", ""RBT - Wetted Area Calculation v1.0"", ""Site Measurement of Conductivity Calculation v1.0"", ""Pool Tail Fines Grid v2.0"", ""Estimating Stream Temperatures at Multiple Scales Using Remotely Sensed Land Surface Temperature v1.0"", ""RBT - Bankfull Site Length Calculation v1.0"", ""Channel Unit Classification v3.0"", ""Fish Cover Elements v2.0"", ""Pool Tail Fines: Particles <2mm and <6mm v1.0"", ""Large Wood Frequency v1.0"", ""Site Revisit v1.0"", ""RBT - Bankfull Width To Depth Ratio Profile Calculation v1.0"", ""Solar Access Calculation v1.0"", ""Undercut Banks v2.0"", ""Particle Size Distribution and Particle Embeddedness v3.0"", ""RBT - Channel Unit Calculation v1.0"", ""Water Temperature Probe Installation v1.0"", ""Percent Ground Cover and Percent No Ground Cover v1.0"", ""RBT - Wetted Site Length Calculation v1.0"", ""Site Layout v2.0"", ""Side Channel Calculations v1.0"", ""Solar Input v2.0"", ""Measuring Individual Large Woody Pieces v1.0"", ""Percent Coniferous Cover v2.0"", ""Locating the Site v2.0"", ""Setting Up Topographic Survey v1.0"", ""Site Measurement of Alkalinity Calculation v1.0"", ""RBT - Wetted Width To Depth Ratio Profile Calculation v1.0"", ""RBT - Site Sinuosity Calculation v1.0"", ""RBT - Bankfull Width Profile Calculation v1.0"", ""Ocular Channel Unit Substrate Composition v1.0"", ""Channel Segment Number v3.0"", ""RBT - Site Gradient Calculation v1.0"", ""Site Photos v2.0"", ""Percent Woody Cover v1.0"", ""Stream Temperature Logger Calculations v1.0"", ""Drift Biomass Calculation v1.0"", ""RBT - Integrated Wetted Width Calculation v1.0"", ""D16, D50, and D84 Particle Size in Riffles Calculation v2.0"", ""RBT - Thalweg Site Length Calculation v1.0"", ""Hydraulic Modeling of River and Stream Reaches Sampled in the Columbia Habitat and Monitoring Program v1.0"", ""Macroinvertebrate Drift v2.0"", ""Design based estimation of status and trend of Columbia Habitat and Monitoring Program metrics v1.0"", ""RBT - Bankfull Area Calculation v1.0"", ""Site Map v1.0"", ""Topographic Point Collection v3.0"", ""Undercut Metrics v1.0"", ""Stream Discharge v1.0"", ""Riparian Structure v2.0"", ""Fastwater Cobble Embeddedness Calculations v1.0"", ""Percent Canopy Cover and Percent No Canopy Cover v1.0"", ""Large Wood Volume Calculation v1.0"", ""Percent Big Tree Cover v1.0"", ""RBT - Wetted Volume Calculation v1.0"", ""RBT - Thalweg Depth Profile Calculation v1.0"", ""Water Chemistry - Conductivity and Alkalinity v1.0"", ""RBT - Integrated Bankfull Width Calculation v1.0"", ""Substrate Composition Calculations (Boulder, Cobbles, Gravel, Sand and Fines) v1.0"", ""Percent Non-Woody Cover v1.0"", ""Percent Fish Cover Calculation v1.0"", ""Percent Understory Cover and Percent No Understory Cover v1.0""]"
"""Density of Vegetation""","""Upper Mississippi River Long Term Resource Monitoring""","[""Catch-Per-Unit-Effort (CPUE) of Stratified Random Samples v1.0"", ""Fish Weight Measurements for Individual Specimen on Large River Systems v1.0"", ""Large River Monitoring Qualitative Vegetation Density Appraisal v1.0"", ""Locating and establishing the start of the survey v1.0"", ""Mini Fyke Netting for Smaller Fish on a Large River v1.0"", ""Secchi Disk Transparency v1.0"", ""Fyke Nets v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Turtle Identification and Measurements: Incidental Catch in Large River Systems v1.0"", ""Standard Operating Procedures for Instantaneous Measurements of Temperature in Water v1.0"", ""Large River Monitoring Qualitative Vegetation Coverage Appraisal v1.0"", ""Measuring Fish Length: Standard Length for Fish in Large River Systems v1.0"", ""Large River Slingshot Balloon Trawling for Fish v1.0"", ""Redd Morphology: Depth and Velocity v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Hoop Netting v1.0"", ""Large River Monitoring Qualitative Substrate Appraisal v1.0"", ""Fish Identification and Data Entry in a Large River System v1.0"", ""Subsampling Fish in Large River Systems v1.0"", ""Boat Electrofishing v1.0"", ""Water Quality Measurements Using a Conductivity/DO/Temperature Meter v1.0""]"
"""Density of Vegetation""","""SRFB - Monitoring Effectiveness of Habitat Protection Projects""","[""Measuring Actively Eroding Streambanks v1.0"", ""Measuring Substrate v1.0"", ""Detecting Fish Species Assemblages Using Backpack Electrofishing or Snorkeling v1.0"", ""Laying Out Control and Impact Stream Reaches for Wadeable Streams v1.0"", ""Testing for significance in habitat protection project monitoring v1.0"", ""Determining Intertidal Conditions v1.0"", ""Measuring Large Woody Debris (LWD) v1.0"", ""Summary Statistics for Habitat Protection Projects v1.0"", ""Determining Macro-Invertebrate Species Assemblages v1.0"", ""Measuring Slope And Bearing v1.0"", ""Characterizing Stream Morphology, Thalweg Profile v1.0"", ""Determining Upland Vegetation Species Diversity and Densities v1.0"", ""Characterizing Riparian Vegetation Structure v1.0""]"
"""Density of Vegetation""","""Habitat Evaluation Procedures (HEP)""","[""Snags v1.0"", ""Shrub Height v1.0"", ""Tree Measurements - Basal Area Analysis v1.0"", ""Establishing Transects for Habitat Measurements v1.0"", ""Shrub Demographics v1.0"", ""Tree Measurements - Basal Area v1.0"", ""Herbaceous Vegetation Height v1.0"", ""Tree Measurements - Percent Canopy Cover v1.0"", ""Tree Measurements - Diameter Breast Height (DBH) v1.0"", ""Down Woody Debris v1.0"", ""Herbaceous Measurements - Percent Cover v1.0"", ""Estimate screening/hiding cover v1.0"", ""Sample Size Determination v1.0"", ""Tree Measurements - Tree Height v1.0"", ""Establishing Photo Points v1.0"", ""Stumps v1.0"", ""Stand Density v1.0"", ""Shrub Measurements - Percent Cover v1.0"", ""Visual Obstruction Readings (VOR) v1.0""]"
"""Density of Vegetation""","""Juvenile Spring Chinook Habitat Saturation and Limiting Factors""","[""Rapid Assessment Habitat Type v1.0"", ""Competition/Capacity Snorkel Survey v1.0"", ""Habitat-Riparian Assessment-Densiometer Readings v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling with Binned Counts v2.0"", ""Transect depth and flow measurements v1.0"", ""Method for Measuring Substrate v1.0""]"
"""Density of Vegetation""","""BPA MBACI Monitoring Effectiveness of Habitat Protection Projects""","[""Benthic Macroinvertebrates v1.0"", ""Laying Out Control and Impact Stream Reaches for Wadeable Streams (For Fish Passage Projects) v1.0"", ""Measuring Slope And Bearing v1.0"", ""Determining Upland Vegetation Species Diversity and Densities v1.0"", ""Particle Size Distribution and Particle Embeddedness v2.0"", ""Measuring Pool Tail Fines v1.0"", ""Calculation of variation in thalweg profile and channel width v1.0"", ""Channel Unit Classification v1.0"", ""Detecting Fish Species Assemblages Using Backpack Electrofishing or Snorkeling v1.0"", ""Tally Large Woody Debris v2.0"", ""Bankfull Width Calculation v1.0"", ""Characterizing Stream Morphology, Thalweg Profile v1.0"", ""Measuring Pool Attributes v1.0"", ""Measuring Actively Eroding Streambanks v1.0"", ""Summary Statistics for Habitat Protection Projects v1.0"", ""Characterizing Riparian Vegetation Structure v1.0""]"
"""Density of Vegetation""","""Okanogan Basin Monitoring & Evaluation Program -  Habitat Monitoring""","[""Laying Out Control and Impact Stream Reaches for Wadeable Streams v1.0"", ""Measuring Transect Data v1.0"", ""Measuring Large Woody Debris (LWD) v1.0"", ""Transect Layout in Reach with Braided Channel/Measuring Side Channels & Mid Channel Bars v1.0"", ""Characterizing Stream Morphology and In-Stream Habitat - Thalweg Profile v1.0"", ""Characterizing Riparian Vegetation Structure v1.0"", ""Download of surface water data collected at streamgaging stations from NWIS v1.0"", ""Method for Photo Documentation v1.0"", ""Physical Habitat: Human Influence v1.0"", ""Standard Operating Procedures for Continuous Temperature Monitoring of Fresh Water Rivers and Streams. v1.0"", ""Benthic Macroinvertebrates v1.0"", ""Measuring Gradient v1.0"", ""Measuring Substrate v1.0"", ""Ecosystem Diagnosis and Treatment (EDT) v1.0""]"
"""Depth-Fines""","""SRFB - Monitoring Effectiveness of Riparian Planting Projects""","[""Measuring Pool Tail Fines v1.0"", ""Quantifying Riparian Plantings v1.0"", ""Measuring Actively Eroding Streambanks v1.0"", ""Characterizing Riparian Vegetation Structure v1.0"", ""Laying Out Control and Impact Stream Reaches for Wadeable Streams v1.0"", ""Summary Statistics for Riparian Planting Projects v1.0""]"
